question_id,question_text,current_dimension,current_direction,lr_signal,conflict_flag,cross_dimension_interference,manual_decision,action,dimension_weight_override,notes
q23,"我现在依然会在没人的时候（或在脑海里）幻想自己拥有超能力，甚至会念出中二台词。",E_I,I,"EI 模型倾向 E；SN 模型也给出较强 N 信号",yes,yes,"不改题面，不改 dimension/sign；用维度权重把它从 E/I 主判定中拿出来，作为 N 辅助信号。","weight_override","{""S_N"":-0.9}","当前 E/I 方向冲突明显；只用权重层处理，保持题库字段稳定。"
q35,"相比于传统的“王道、元气”人设，我更容易被性格带有缺陷、偏执或有些黑深残的角色吸引。",S_N,S,"SN 模型倾向 N，且方向与当前 S 冲突",yes,no,"不改题面；用权重覆盖为较弱 N 信号。","weight_override","{""S_N"":-0.65}","方向冲突题，第一轮只做权重反向校准。"
q37,"看番或玩游戏时，我热衷于去挖掘背后的隐藏设定、世界观隐喻，甚至逐帧分析细节。",J_P,J,"SN 模型最强 N 信号，JP 也有 J 信号",no,yes,"不移动题目字段；用权重层让它主要贡献 N，同时保留很弱 J。","weight_override","{""S_N"":-0.8,""J_P"":0.25}","避免把考据癖过度等同于 J。"
q31,"我会仅仅为了抽到或看到某个喜欢的角色，去下载尝试一款我本来毫无兴趣的游戏。",J_P,P,"SN/JP/TF 均有信号，原题是消费冲动而非稳定 J/P",no,yes,"不改题面；降低它对 P 的影响。","weight_override","{""J_P"":-0.65}","保留少量开放探索信号，降低角色消费噪声。"
q5,"我会在 up 们索要三连时肌肉记忆地打出“下次一定”。",J_P,P,"SN/TF/JP 均为弱跨维信号",no,yes,"不改题面；大幅降低它对 P 的影响。","weight_override","{""J_P"":-0.4}","平台梗反应不是稳定 J/P。"
q8,"我不爱刻意整理电脑桌面或文件，哪怕看起来很乱我也懒得管。",J_P,P,"JP 模型强 P 信号，但生活习惯污染明显",no,no,"不改题面；保留 P 信号并小幅增强，用来抵消当前过度预测 J。","weight_override","{""J_P"":-1.2}","方向可用，但作为权重实验需要继续看新版本反馈。"
q2,"我的人生格言是“能躺着绝不坐着，能摆烂绝不内卷”。",J_P,P,"JP 模型强 P 信号，但懒散/摆烂污染明显",no,no,"不改题面；保留 P 信号并小幅增强，用来抵消当前过度预测 J。","weight_override","{""J_P"":-1.15}","方向可用，但作为权重实验需要继续看新版本反馈。"
q38,"我玩游戏一定会强迫自己清完所有支线和地图问号。",J_P,J,"JP 模型稳定 J 信号",no,no,"不改题面；当前整体过度预测 J，第一轮暂时关闭该题 J/P 贡献。","weight_override","{""J_P"":0}","只关闭维度算分贡献，不影响原型/角色权重。"
q9,"我经常在深夜因为情绪泛滥而发些 emo 的动态或评论。",T_F,F,"TF 模型稳定 F 信号",no,no,"不改。","keep","{}","T/F 稳定锚点，第一轮不动。"
q29,"我很喜欢看那些有些缺德、冒犯性的“地狱笑话”，并且经常能毫无心理负担地跟着笑。",T_F,T,"TF 模型稳定 T 信号",no,no,"不改。","keep","{}","T/F 稳定锚点，第一轮不动。"
